"日時","仮想ｷｰｺｰﾄﾞ","ｽｷｬﾝｺｰﾄﾞ","拡張ｷｰﾌﾗｸﾞ","ｲﾍﾞﾝﾄ挿入ﾌﾗｸﾞ","ｺﾝﾃｷｽﾄｺｰﾄﾞ","遷移状態ﾌﾗｸﾞ","ﾀｲﾑｽﾀﾝﾌﾟ","追加情報","仮想ｷｰｺｰﾄﾞ定数","キー"
"08/31 18:00:07.601","0x53","0x1F","False","False","False","False","2695718","0","VK_S","Sキー"
"08/31 18:00:07.712","0x53","0x1F","False","False","False","True","2695828","0","VK_S","Sキー"
"08/31 18:00:08.472","0x08","0x0E","False","False","False","False","2696593","0","VK_BACK","Backspaceキー"
"08/31 18:00:08.557","0x08","0x0E","False","False","False","True","2696671","0","VK_BACK","Backspaceキー"
"08/31 18:00:09.153","0x45","0x12","False","False","False","False","2697265","0","VK_E","Eキー"
"08/31 18:00:09.263","0x45","0x12","False","False","False","True","2697375","0","VK_E","Eキー"
"08/31 18:00:09.756","0x54","0x14","False","False","False","False","2697875","0","VK_T","Tキー"
"08/31 18:00:09.867","0x54","0x14","False","False","False","True","2697984","0","VK_T","Tキー"
"08/31 18:00:10.561","0x08","0x0E","False","False","False","False","2698671","0","VK_BACK","Backspaceキー"
"08/31 18:00:10.671","0x08","0x0E","False","False","False","True","2698796","0","VK_BACK","Backspaceキー"
"08/31 18:00:10.758","0x59","0x15","False","False","False","False","2698875","0","VK_Y","Yキー"
"08/31 18:00:10.852","0x59","0x15","False","False","False","True","2698968","0","VK_Y","Yキー"
"08/31 18:00:11.321","0x4D","0x32","False","False","False","False","2699437","0","VK_M","Mキー"
"08/31 18:00:11.415","0x4D","0x32","False","False","False","True","2699531","0","VK_M","Mキー"
"08/31 18:00:12.818","0x49","0x17","False","False","False","False","2700937","0","VK_I","Iキー"
"08/31 18:00:12.912","0x49","0x17","False","False","False","True","2701031","0","VK_I","Iキー"
"08/31 18:00:13.494","0x4C","0x26","False","False","False","False","2701609","0","VK_L","Lキー"
"08/31 18:00:13.533","0x4C","0x26","False","False","False","True","2701640","0","VK_L","Lキー"
"08/31 18:00:13.596","0x4C","0x26","False","False","False","False","2701718","0","VK_L","Lキー"
"08/31 18:00:13.682","0x4C","0x26","False","False","False","True","2701796","0","VK_L","Lキー"
"08/31 18:00:14.313","0x0D","0x1C","False","False","False","False","2702437","0","VK_RETURN","Enterキー"
"08/31 18:00:14.444","0x0D","0x1C","False","False","False","True","2702500","0","VK_RETURN","Enterキー"
